汽车维修检验工(初级工)理论知识题库,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
判断题,容易,很好,相关知识要求,发动机检修,发动机总成拆装,曲轴前皮带轮（扭转减震器）的拆装,对于曲轴皮带轮，使用一把锤子敲击曲轴皮带轮以便将其从曲轴上拆卸。（    ）,B,0.5,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
判断题,容易,很好,相关知识要求,发动机检修,发动机总成拆装,曲轴前皮带轮（扭转减震器）的拆装,曲轴皮带轮一般安装在曲轴的前端轴上（      ）。,A,0.5,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
单选题,容易,很好,相关知识要求,发动机检修,发动机总成拆装,曲柄连杆机构的活塞连杆组的拆装,拆装活塞连杆组时下列说法正确的是（ ）。,C,0.5,各缸活塞外观看着一致因此可以混合堆放,连杆两面看着一样可以不分方向,拆卸活塞连杆组时必须按顺序按方向标注好各零件再拆卸,安装新活塞时采用的都是标准件不需要进行配对直接安装即可,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
单选题,容易,很好,相关知识要求,发动机检修,发动机总成拆装,曲柄连杆机构的活塞连杆组的拆装,活塞环安装时下列说法正确的是（   ）。,D,0.5,活塞环端口需要全部放置在同一方向位置上,活塞环端口应错开180º与活塞销在一个方向上,活塞环端口应错开180º在与活塞销垂直的方向上,活塞环端口应错开180º且应错开活塞销45º的方向上,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
单选题,容易,很好,相关知识要求,发动机检修,发动机总成拆装,曲柄连杆机构的活塞连杆组的拆装,安装活塞环时下列说法错误的是（   ）。,D,0.5,镀铬环为第一道气环,活塞环内圆倒角面朝上,活塞环外有标记面朝上,活塞环外圆倒角面朝上,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
单选题,容易,很好,相关知识要求,发动机检修,发动机总成拆装,曲柄连杆机构的活塞连杆组的拆装,紧固连杆螺栓时下列说法正确的是。（       ）,D,0.5,用棘轮扳手拧紧即可。,用扭力扳手按规定力矩一次性拧紧即可。,用棘轮扳手分三次拧紧即可。,用扭力扳手分三次按规定力矩拧紧即可。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
判断题,容易,很好,相关知识要求,发动机检修,发动机总成拆装,曲柄连杆机构的活塞连杆组的拆装,拉出活塞连杆组件之前，须在活塞顶部写上气缸号。以免混淆，同时记号活塞所对应的进排气位置，以免安装时损坏气门或活塞。,A,0.5,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
判断题,容易,很好,相关知识要求,发动机检修,发动机总成拆装,曲柄连杆机构的活塞连杆组的拆装,活塞连杆组件拆出后，应把连杆盖与连杆体对应连在一起，以免混淆。（     ）,A,0.5,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
单选题,容易,很好,相关知识要求,发动机检修,发动机总成拆装,曲柄连杆机构曲轴飞轮组的拆装,松卸曲轴主轴承盖螺栓时应选用下列的工具是（）。,C,0.5,大棘轮扳手,活动扳手,指针式扭矩扳手,开口扳手,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
单选题,容易,很好,相关知识要求,发动机检修,发动机总成拆装,曲柄连杆机构曲轴飞轮组的拆装,拆卸曲轴主轴承盖螺栓顺序下列说法正确的是（）。,D,0.5,按交叉法从外向内一颗一颗的拆卸,按轴承盖顺序一个轴承盖接一个轴承盖拆卸,从中间轴承盖开始往两边轴承盖一个接一个的拆卸,从两边轴承盖开始往中间轴承盖一个接一个的拆卸,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
单选题,容易,很好,相关知识要求,发动机检修,发动机总成拆装,曲柄连杆机构曲轴飞轮组的拆装,在拆卸没有定位销的孔洞的飞轮时下列说法正确的是（）。,A,0.5,拆卸前应对飞轮与曲轴位置做好标记,拆卸时安螺栓顺序进行拆卸,安装时按螺栓排列顺序一次性拧紧,安装时不需要核对飞轮安装位置。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
单选题,容易,很好,相关知识要求,发动机检修,发动机总成拆装,曲柄连杆机构曲轴飞轮组的拆装,安装曲轴飞轮组时（）未安装会导致曲轴前后串动间隙增大。,C,0.5,曲轴主轴瓦,曲轴油封,曲轴止推片,曲轴皮带轮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
判断题,容易,很好,相关知识要求,发动机检修,发动机总成拆装,曲柄连杆机构曲轴飞轮组的拆装,曲轴止推片安装时有凹槽一面朝向缸体一侧。（  ）,B,0.5,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
判断题,容易,很好,相关知识要求,发动机检修,发动机总成拆装,曲柄连杆机构曲轴飞轮组的拆装,曲轴拆卸完成后为防止曲轴摔损可以斜靠在墙上。(     ),B,0.5,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
单选题,容易,很好,相关知识要求,发动机检修,发动机总成拆装,曲柄连杆机构机体组的拆装,安装湿式缸套时以下说法正确的是（）。,D,0.5,缸套密封圈涂抹汽油润滑,缸套密封圈不能涂抹任何物品应直接压入缸体,缸套应与缸体平面平齐,缸套安装应突出缸体平面0.05mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
单选题,容易,很好,相关知识要求,发动机检修,发动机总成拆装,曲柄连杆机构机体组的拆装,在拆装完气缸垫后缸体上会残留一些气缸垫材料比较难清理对此下列做法正确的是（）。,B,0.5,可用电动钢丝刷打磨提高工作效率,只能用铲刀一点一点清理防止损伤气缸体平面,可用强酸进行清洗,可用强碱进行清洗,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
单选题,容易,很好,相关知识要求,发动机检修,发动机总成拆装,曲柄连杆机构机体组的拆装,装配机体组时下列说法正确的是。（）,D,0.5,汽缸垫可重复使用,前端盖垫片损坏用密封胶代替,密封圈必须更换新的和密封垫可不必更换,密封圈和密封垫都必须更换新的,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
单选题,容易,很好,相关知识要求,发动机检修,发动机总成拆装,曲柄连杆机构机体组的拆装,在安装油底壳6mm螺栓时下列做法正确的是（）。,B,0.5,由于油底壳螺栓较多可用风炮快速打紧,将所有螺栓用手带到底后用扭力扳手按规定力矩对角拧紧,将所有螺栓用手带到底后用棘轮扳手对角拧紧即可,将所有螺栓用手带到底后用梅花扳手对角拧紧即可,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
判断题,容易,很好,相关知识要求,发动机检修,发动机总成拆装,曲柄连杆机构机体组的拆装,干式气缸套可以直接用手将其压入气缸体。（）,B,0.5,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
判断题,容易,很好,相关知识要求,发动机检修,发动机总成拆装,曲柄连杆机构机体组的拆装,湿式气缸套与气缸体的安装采用的是过盈配合。（）,B,0.5,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
单选题,容易,很好,相关知识要求,发动机检修,发动机总成拆装,配气机构的功用,配气机构的功用是（      ）,A,0.5,定时打开、关闭气门,向柴油机提供柴油,向柴油机提供机油,配制混合气,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
单选题,容易,很好,相关知识要求,发动机检修,发动机总成拆装,配气机构的功用,配气机构的作用说法错误的是（     ）,A,0.5,将燃料化学能转换为曲轴动能,开启关闭进排气门,控制进排气门开起的时机,控制进排气门开关的时间跨度和开启高度。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
单选题,容易,很好,相关知识要求,发动机检修,发动机总成拆装,配气机构的功用,在配气机构中，凸轮轴的主要作用是（      ）。,B,0.5,控制燃油的喷射,控制气门的开关和开度,控制冷却液的循环,控制润滑油的供给,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
单选题,容易,很好,相关知识要求,发动机检修,发动机总成拆装,配气机构的功用,配气机构中的气门组的作用是（      ）。,B,0.5,保证气门的关闭,在必要的时候增加进气量，提高燃烧效率,控制发动机的点火时间,控制将废气排放的更充分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
判断题,容易,很好,相关知识要求,发动机检修,发动机总成拆装,配气机构的功用,气门弹簧的作用主要是打开气门（      ）。,B,0.5,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
判断题,容易,很好,相关知识要求,发动机检修,发动机总成拆装,配气机构的功用,配气机构中气门传动组的作用是使进、排气门按配气相位规定的时刻开闭，并保证有足够的开度。（      ）,A,0.5,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
单选题,容易,很好,相关知识要求,发动机检修,发动机总成拆装,气缸盖的拆装,在安装气缸盖螺栓时应选用下列的工具是（）。,A,0.5,预置式扭力扳手,弯杆扳手,棘轮扳手,风炮扳手,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
单选题,容易,很好,相关知识要求,发动机检修,发动机总成拆装,气缸盖的拆装,拆卸汽缸盖螺栓时下列说法正确的是（）。,D,0.5,拆卸顺序由内向外对角一颗一颗取出,拆卸顺序由外向内对角角一颗一颗取出,拆卸顺序由内向外对角分多次松卸后再逐颗取出,拆卸顺序由外向内对角分多次松卸后再逐颗取出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
单选题,容易,很好,相关知识要求,发动机检修,发动机总成拆装,气缸盖的拆装,拆卸汽缸盖时不可能造成气缸缸盖变形的是（）。,C,0.5,在热机时拆卸汽缸盖按由外向内对角分多次拆卸缸盖螺栓,在热机时拆卸汽缸盖按由内向外对角分多次拆卸缸盖螺栓,在冷机状态时按由外向内对角多次松卸缸盖螺栓,在冷机状态时按由内向外对角分多次松卸缸盖螺栓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
单选题,容易,很好,相关知识要求,发动机检修,发动机总成拆装,气缸盖的拆装,安装气缸盖螺栓正确的顺序是（）。,C,0.5,由内向外对角一颗一颗拧紧,由外向内对角角一颗一颗拧紧,由内向外对角分多次按规定扭矩拧紧,由外向内对角分多次按规定扭矩拧紧,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
判断题,容易,很好,相关知识要求,发动机检修,发动机总成拆装,气缸盖的拆装,在热机情况下拆装汽缸盖可能导致缸盖变形。（）,A,0.5,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
判断题,容易,很好,相关知识要求,发动机检修,发动机总成拆装,气缸盖的拆装,汽缸盖变形时可通过加厚汽缸垫进行进行调整（）。,B,,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
单选题,容易,很好,相关知识要求,发动机检修,发动机总成拆装,发动机的配气相位,下列字母表示可变配气相位的是（    ）。,C,0.5,ECU,ABS,VVT-i,EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
单选题,容易,很好,相关知识要求,发动机检修,发动机总成拆装,发动机的配气相位,可变配气相位的目的是（      ）。,B,0.5,提高发动机油耗，增加动力,降低发动机油耗，提高燃烧效率,提升发动机运行速度,使配气机构运动不相互干涉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
单选题,容易,很好,相关知识要求,发动机检修,发动机总成拆装,发动机的配气相位,配气相位的实质就是进排气门的（   ）。,B,0.5,早开早闭,早开晚闭,晚开早闭,晚开晚闭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
单选题,容易,很好,相关知识要求,发动机检修,发动机总成拆装,发动机的配气相位,采用可变配气相位的目的是（      ）。,A,0.5,提高充气效率,提高进气时间,减少污染,便于排气,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
单选题,容易,很好,相关知识要求,发动机检修,发动机总成拆装,发动机的配气相位,进排气门不可能同时开启。（）,B,0.5,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
单选题,容易,很好,相关知识要求,发动机检修,发动机总成拆装,发动机的配气相位,配气相位通常用曲轴转角表示。（）,A,0.5,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
